drug,category,is_active,ml_score,consensus_score,vina_score
celecoxib,M_Arbovirus_Activity,False,0.7026,0.6846,-6.563
daclatasvir,B_Published_Dengue,False,0.5209,0.5273,-6.853
methotrexate,D_Host_Directed,False,0.4834,0.493,-6.827
pyrimethamine,R_More_Tropical,False,0.5054,0.478,-5.232
umifenovir,L_Broad_Antivirals,False,0.4593,0.4401,-5.396
velpatasvir,J_HCV_NS5A,False,0.3757,0.4381,-8.754
baloxavir_marboxil,L_Broad_Antivirals,False,0.4156,0.4318,-6.817
baricitinib,D_Host_Directed,False,0.4301,0.4131,-5.363
suramin,B_Published_Dengue,False,0.3724,0.3968,-6.996
atovaquone,R_More_Tropical,False,0.361,0.3876,-7.045
voxilaprevir,I_HCV_NS3_Protease,False,0.3298,0.3853,-8.226
glecaprevir,I_HCV_NS3_Protease,False,0.3724,0.3852,-6.465
cetirizine,Q_More_Negatives,False,0.3665,0.3845,-6.676
indomethacin,N_Immune_Modulators,False,0.3833,0.3808,-5.81
atazanavir,F_Protease_Inhibitors,False,0.3389,0.3797,-7.593
darunavir,F_Protease_Inhibitors,False,0.3413,0.3781,-7.421
dasabuvir,A_RdRp_Inhibitors,True,0.3394,0.3758,-7.392
nelfinavir,F_Protease_Inhibitors,False,0.334,0.3696,-7.333
paritaprevir,I_HCV_NS3_Protease,False,0.3245,0.3678,-7.64
boceprevir,I_HCV_NS3_Protease,False,0.3581,0.3624,-6.006
lisinopril,Q_More_Negatives,False,0.3753,0.357,-5.05
elbasvir,J_HCV_NS5A,False,0.3258,0.3567,-7.078
telaprevir,I_HCV_NS3_Protease,False,0.332,0.3555,-6.77
cyclosporine,D_Host_Directed,False,0.3236,0.3445,-6.611
grazoprevir,I_HCV_NS3_Protease,False,0.2729,0.3432,-8.644
ibuprofen,H_Negative_Controls,False,0.3551,0.3419,-5.192
abacavir,K_More_Nucleosides,False,0.3388,0.3417,-5.856
pibrentasvir,J_HCV_NS5A,False,0.2807,0.3404,-8.193
trifluridine,C_Nucleoside_Analogs,False,0.3453,0.3394,-5.483
omeprazole,H_Negative_Controls,False,0.3164,0.3341,-6.431
cladribine,C_Nucleoside_Analogs,False,0.3381,0.3337,-5.516
fenofibrate,M_Arbovirus_Activity,False,0.3198,0.3329,-6.237
fludarabine,C_Nucleoside_Analogs,False,0.3217,0.3324,-6.133
telbivudine,K_More_Nucleosides,False,0.3399,0.3296,-5.256
ribavirin,A_RdRp_Inhibitors,True,0.3428,0.329,-5.107
nirmatrelvir,L_Broad_Antivirals,False,0.3174,0.321,-5.789
pantoprazole,Q_More_Negatives,False,0.3064,0.3181,-6.111
galidesivir,A_RdRp_Inhibitors,True,0.3204,0.3141,-5.349
prednisolone,N_Immune_Modulators,False,0.2822,0.3096,-6.719
atorvastatin,Q_More_Negatives,False,0.2867,0.3079,-6.454
chlorpromazine,M_Arbovirus_Activity,False,0.3219,0.3041,-4.831
niclosamide,M_Arbovirus_Activity,False,0.2884,0.3019,-6.111
minocycline,P_More_Host_Directed,False,0.2734,0.2975,-6.526
lopinavir,F_Protease_Inhibitors,False,0.2806,0.2972,-6.216
ivermectin,B_Published_Dengue,False,0.2487,0.2942,-7.396
ruxolitinib,D_Host_Directed,False,0.2874,0.2925,-5.72
simeprevir,I_HCV_NS3_Protease,False,0.246,0.29,-7.316
vandetanib,G_Kinase_Inhibitors,False,0.2641,0.2834,-6.265
clevudine,K_More_Nucleosides,False,0.2744,0.2788,-5.628
remdesivir,A_RdRp_Inhibitors,True,0.2473,0.2772,-6.673
albendazole,E_Tropical_Disease,False,0.277,0.2769,-5.434
sirolimus,P_More_Host_Directed,False,0.2463,0.2735,-6.545
favipiravir,A_RdRp_Inhibitors,True,0.2976,0.2696,-4.25
colchicine,N_Immune_Modulators,False,0.2598,0.2685,-5.759
hydroxychloroquine,B_Published_Dengue,False,0.2681,0.2667,-5.334
entecavir,A_RdRp_Inhibitors,True,0.2601,0.2664,-5.652
doxycycline,B_Published_Dengue,False,0.2191,0.2664,-7.343
naproxen,N_Immune_Modulators,False,0.2646,0.2654,-5.417
chloroquine,B_Published_Dengue,False,0.2759,0.2652,-4.943
zidovudine,C_Nucleoside_Analogs,False,0.2561,0.2634,-5.679
mefloquine,E_Tropical_Disease,False,0.2389,0.2597,-6.218
prochlorperazine,B_Published_Dengue,False,0.2585,0.2593,-5.39
acyclovir,C_Nucleoside_Analogs,False,0.2616,0.2574,-5.177
molnupiravir,A_RdRp_Inhibitors,True,0.2559,0.2516,-5.145
sorafenib,M_Arbovirus_Activity,False,0.1993,0.2491,-7.365
balapiravir,A_RdRp_Inhibitors,True,0.235,0.2482,-5.853
benznidazole,R_More_Tropical,False,0.2342,0.2482,-5.884
pentoxifylline,N_Immune_Modulators,False,0.2578,0.2478,-4.892
stavudine,K_More_Nucleosides,False,0.2466,0.2462,-5.282
didanosine,K_More_Nucleosides,False,0.2441,0.241,-5.145
gemcitabine,C_Nucleoside_Analogs,False,0.2213,0.24,-6.039
praziquantel,E_Tropical_Disease,False,0.1921,0.2399,-7.242
ledipasvir,B_Published_Dengue,False,0.1928,0.2378,-7.115
sofosbuvir,A_RdRp_Inhibitors,True,0.2136,0.2373,-6.235
tenofovir,A_RdRp_Inhibitors,True,0.2428,0.2327,-4.817
adefovir,L_Broad_Antivirals,False,0.2328,0.231,-5.154
ombitasvir,J_HCV_NS5A,False,0.1778,0.2284,-7.304
camostat,O_Entry_Inhibitors,False,0.2024,0.227,-6.223
levothyroxine,Q_More_Negatives,False,0.2066,0.2239,-5.91
artemisinin,E_Tropical_Disease,False,0.196,0.2232,-6.314
oseltamivir,L_Broad_Antivirals,False,0.2314,0.221,-4.754
lovastatin,B_Published_Dengue,False,0.2001,0.2063,-5.373
leflunomide,D_Host_Directed,False,0.1853,0.2062,-5.977
sunitinib,G_Kinase_Inhibitors,False,0.1617,0.1918,-6.291
azathioprine,P_More_Host_Directed,False,0.1863,0.1911,-5.241
pentamidine,R_More_Tropical,False,0.1575,0.1849,-6.148
mycophenolate_mofetil,D_Host_Directed,False,0.1577,0.183,-6.052
metformin,H_Negative_Controls,False,0.1802,0.1731,-4.671
erlotinib,G_Kinase_Inhibitors,False,0.1528,0.1629,-5.331
rimantadine,O_Entry_Inhibitors,False,0.169,0.1625,-4.647
gabapentin,Q_More_Negatives,False,0.1732,0.1614,-4.421
miltefosine,R_More_Tropical,False,0.1725,0.1552,-4.169
nafamostat,O_Entry_Inhibitors,False,0.1147,0.1477,-6.206
amantadine,O_Entry_Inhibitors,False,0.1461,0.1471,-4.885
cytarabine,C_Nucleoside_Analogs,False,0.1346,0.1469,-5.348
primaquine,E_Tropical_Disease,False,0.1387,0.1394,-4.835
lamivudine,C_Nucleoside_Analogs,False,0.1368,0.1392,-4.905
amlodipine,H_Negative_Controls,False,0.1254,0.1302,-4.965
nitazoxanide,B_Published_Dengue,False,0.0928,0.114,-5.568
