drug_id,name,category,vina_score,ml_binding_score,old_consensus_score,old_consensus_rank,new_consensus_score,new_consensus_rank,rank_change
molnupiravir,molnupiravir,A_RdRp_Inhibitors,-5.145,0.8767,0.6112,73,0.8103,1,72
amlodipine,amlodipine,H_Negative_Controls,-4.965,0.88,0.5974,86,0.8094,2,84
chloroquine,chloroquine,B_Published_Dengue,-4.943,0.8801,0.5956,87,0.809,3,84
didanosine,didanosine,K_More_Nucleosides,-5.145,0.875,0.6101,76,0.8088,4,72
lisinopril,lisinopril,Q_More_Negatives,-5.05,0.877,0.6031,85,0.8085,5,80
pentoxifylline,pentoxifylline,N_Immune_Modulators,-4.892,0.8808,0.5916,88,0.8085,5,83
ribavirin,ribavirin,A_RdRp_Inhibitors,-5.107,0.8755,0.6071,83,0.8084,7,76
chlorpromazine,chlorpromazine,M_Arbovirus_Activity,-4.831,0.8804,0.586,91,0.8068,8,83
lamivudine,lamivudine,C_Nucleoside_Analogs,-4.905,0.8771,0.5905,89,0.8054,9,80
amantadine,amantadine,O_Entry_Inhibitors,-4.885,0.8771,0.5887,90,0.805,10,80
tenofovir,tenofovir,A_RdRp_Inhibitors,-4.817,0.8785,0.5836,93,0.8048,11,82
adefovir,adefovir,L_Broad_Antivirals,-5.154,0.8699,0.6079,80,0.8044,12,68
primaquine,primaquine,E_Tropical_Disease,-4.835,0.8769,0.5842,92,0.8037,13,79
rimantadine,rimantadine,O_Entry_Inhibitors,-4.647,0.8807,0.5701,96,0.8031,14,82
oseltamivir,oseltamivir,L_Broad_Antivirals,-4.754,0.8779,0.5778,94,0.8029,15,79
telbivudine,telbivudine,K_More_Nucleosides,-5.256,0.8658,0.6143,67,0.8029,15,52
stavudine,stavudine,K_More_Nucleosides,-5.282,0.8636,0.6153,65,0.8015,17,48
metformin,metformin,H_Negative_Controls,-4.671,0.8784,0.5708,95,0.8015,17,78
ibuprofen,ibuprofen,H_Negative_Controls,-5.192,0.8634,0.6073,82,0.7994,19,63
acyclovir,acyclovir,C_Nucleoside_Analogs,-5.177,0.8635,0.606,84,0.7991,20,64
pyrimethamine,pyrimethamine,R_More_Tropical,-5.232,0.8609,0.6093,78,0.798,21,57
gabapentin,gabapentin,Q_More_Negatives,-4.421,0.88,0.55,97,0.7975,22,75
favipiravir,favipiravir,A_RdRp_Inhibitors,-4.25,0.8821,0.5363,98,0.7957,23,75
azathioprine,azathioprine,P_More_Host_Directed,-5.241,0.8565,0.6074,81,0.7942,24,57
miltefosine,miltefosine,R_More_Tropical,-4.169,0.8764,0.5258,99,0.7888,25,74
galidesivir,galidesivir,A_RdRp_Inhibitors,-5.349,0.8479,0.6117,72,0.7888,25,47
baricitinib,baricitinib,D_Host_Directed,-5.363,0.8467,0.6122,71,0.7881,27,44
hydroxychloroquine,hydroxychloroquine,B_Published_Dengue,-5.334,0.8462,0.6094,77,0.787,28,49
cytarabine,cytarabine,C_Nucleoside_Analogs,-5.348,0.8458,0.6103,75,0.7869,29,46
prochlorperazine,prochlorperazine,B_Published_Dengue,-5.39,0.8447,0.6133,70,0.7869,29,41
umifenovir,umifenovir,L_Broad_Antivirals,-5.396,0.8444,0.6137,68,0.7867,31,37
erlotinib,erlotinib,G_Kinase_Inhibitors,-5.331,0.8455,0.6087,79,0.7863,32,47
lovastatin,lovastatin,B_Published_Dengue,-5.373,0.843,0.6108,74,0.785,33,41
naproxen,naproxen,N_Immune_Modulators,-5.417,0.8413,0.6137,68,0.7844,34,34
albendazole,albendazole,E_Tropical_Disease,-5.434,0.8408,0.6148,66,0.7843,35,31
trifluridine,trifluridine,C_Nucleoside_Analogs,-5.483,0.8396,0.6184,64,0.7843,35,29
cladribine,cladribine,C_Nucleoside_Analogs,-5.516,0.8349,0.6185,63,0.7808,37,26
zidovudine,zidovudine,C_Nucleoside_Analogs,-5.679,0.8288,0.629,52,0.7789,38,14
nitazoxanide,nitazoxanide,B_Published_Dengue,-5.568,0.8302,0.6202,62,0.7777,39,23
clevudine,clevudine,K_More_Nucleosides,-5.628,0.8284,0.6243,57,0.7774,40,17
entecavir,entecavir,A_RdRp_Inhibitors,-5.652,0.8271,0.6256,56,0.7767,41,15
colchicine,colchicine,N_Immune_Modulators,-5.759,0.8244,0.6334,47,0.7766,42,5
nirmatrelvir,nirmatrelvir,L_Broad_Antivirals,-5.789,0.8193,0.6329,48,0.7727,43,5
ruxolitinib,ruxolitinib,D_Host_Directed,-5.72,0.8189,0.6267,54,0.7708,44,10
abacavir,abacavir,K_More_Nucleosides,-5.856,0.8153,0.6364,43,0.7706,45,-2
