time_ns,min_dist_A,n_contacts
0.0,21.357345039586995,0
0.25,16.357147213436747,0
0.5,14.165599970530652,0
0.75,9.371284809922013,0
1.0,4.985617818705371,0
1.25,6.24481347030778,0
1.5,21.25514325508445,0
1.75,14.97193063751419,0
2.0,18.12073419855058,0
2.25,10.046257195732824,0
2.5,6.177912311697644,0
2.75,2.8417256906981536,77
3.0,2.520888930171373,103
3.25,2.68076288666955,83
3.5,2.712728210132242,49
3.75,2.6774077914633474,110
4.0,2.5397257631474535,90
4.25,1.7545657037441067,130
4.5,3.0638874721945535,67
4.75,2.041945453631345,224
5.0,1.675051702389512,114
5.25,2.3220858924701853,91
5.5,1.7209906834588706,122
5.75,1.7804020185812515,101
6.0,2.1891815175322162,158
6.25,2.0614029864093193,154
6.5,1.9667532284818556,142
6.75,2.692024299177979,171
7.0,2.8043001190670553,157
7.25,1.94710982641341,181
7.5,1.7275730481007074,204
7.75,2.7270805091553463,155
8.0,1.732911659213468,151
8.25,2.6149143370366565,97
8.5,2.523599440946531,232
8.75,2.6351071411621465,169
9.0,2.416160010495229,219
9.25,2.5102954755211857,241
9.5,2.690817901044014,176
9.75,2.741583350819384,140
10.0,2.5144434567609073,187
10.25,2.632432600821621,165
10.5,2.5387721457004604,166
10.75,2.3131707279645806,232
11.0,2.3083740969332203,215
11.25,2.336198051957889,227
11.5,2.473180213298478,226
11.75,2.6951995062402028,202
12.0,2.478938585625419,226
12.25,2.3678203838977625,269
12.5,2.4725141003828517,206
12.75,2.056913636703412,176
13.0,2.4849399097518097,253
13.25,2.684714736989808,221
13.5,2.475416669512064,231
13.75,2.405531905095875,235
14.0,2.8177511391427714,162
14.25,2.574274058118909,198
14.5,2.503912753512259,206
14.75,2.7004668644573,173
15.0,2.424701928140028,225
15.25,1.9588838957430814,221
15.5,2.3708421715801498,199
15.75,2.569202967744292,181
16.0,2.3570587301953263,208
16.25,2.4115096850752096,226
16.5,2.1715617390210142,236
16.75,2.117405368898732,245
17.0,2.506732989050894,198
17.25,2.4192780797195423,164
17.5,2.5708025147725713,181
17.75,1.958181367009429,156
18.0,2.626215823596224,143
18.25,2.2852178086794215,160
18.5,2.706985272829946,140
18.75,2.6501767876424305,143
19.0,2.6469802450109117,126
19.25,2.629299848649008,142
19.5,2.293606083595174,193
19.75,2.535117804749922,119
20.0,2.503695126890163,241
20.25,2.2538481876297025,231
20.5,2.5115228047665332,146
20.75,2.2816411269150163,228
21.0,2.510354416590252,176
21.25,2.6333661104300825,177
21.5,2.497160920581395,193
21.75,2.136630599790568,198
22.0,2.5328817861926476,240
22.25,2.461279708979235,139
22.5,2.2521340296238344,200
22.75,2.576840075162454,234
23.0,2.094034213243599,231
23.25,2.4198156866715426,174
23.5,1.7589206173351792,257
23.75,2.0818831895105467,244
24.0,1.8215227024715253,227
24.25,2.02011095105057,231
24.5,2.1204243908238647,281
24.75,1.8114333944132672,247
25.0,1.7996364832570966,236
25.25,1.96868355698202,231
25.5,1.7565351179090465,261
25.75,2.139491882629094,265
26.0,1.8918305936410404,240
26.25,1.8133088863859796,237
26.5,1.8752552007498746,189
26.75,1.7403761498978332,224
27.0,2.0512130684053473,252
27.25,1.7635482220714571,260
27.5,1.7983653483246251,210
27.75,2.094876365943185,274
28.0,2.353592651749421,252
28.25,2.3325817163605915,232
28.5,2.235722502633919,171
28.75,2.005525278772735,259
29.0,2.021901841716042,216
29.25,2.4532646506835274,148
29.5,2.4759834940376018,224
29.75,2.4290559311670803,224
30.0,2.6560715438894476,165
30.25,2.4837298924233484,228
30.5,2.671292257586834,156
30.75,2.4224191311705514,243
31.0,2.1696740196617315,256
31.25,2.4943726846116623,246
31.5,2.1106639710540374,256
31.75,2.4425603222428705,252
32.0,2.290805064788136,257
32.25,2.474936125579055,191
32.5,1.8590598899360216,283
32.75,2.500671060465822,209
33.0,2.5323922360404474,288
33.25,2.3717785293793963,240
33.5,1.9731521700439159,218
33.75,2.4373364465913347,226
34.0,2.4899947537956373,273
34.25,2.4677961839381246,251
34.5,2.295797355634209,280
34.75,1.9455889150233623,256
35.0,2.0387783600129703,209
35.25,2.507006003195139,244
35.5,2.4762427712937627,258
35.75,2.5123040385488435,212
36.0,2.098451703010959,266
36.25,2.318154525150787,298
36.5,2.2981308087079997,261
36.75,2.3893329062895083,249
37.0,2.456605744298619,195
37.25,2.5006718232084237,237
37.5,2.2047400393054915,241
37.75,2.6016324244596247,284
38.0,1.9405450523402432,290
38.25,2.5514286368697285,260
38.5,2.571607187242076,213
38.75,2.5892438348916174,243
39.0,2.468082292036442,235
39.25,2.641557681306912,251
39.5,2.4041730408614836,253
39.75,2.5415251101796876,251
40.0,2.235200215024958,229
40.25,2.4493672051288655,216
40.5,2.173954558192241,233
40.75,1.9631136016896618,243
41.0,2.351934480546811,251
41.25,1.7848441385924618,270
41.5,2.4578406280117413,228
41.75,2.4997985789232766,173
42.0,2.4517944092534827,247
42.25,2.2546253937161223,265
42.5,1.8780313549174772,280
42.75,2.22087865779195,275
43.0,2.537833156131331,229
43.25,1.9358535169831683,302
43.5,2.4542859762793108,285
43.75,2.074242088065263,233
44.0,2.652559621667302,222
44.25,2.7344863219576183,157
44.5,2.2320548159136697,272
44.75,2.476790142594844,249
45.0,2.4417001045056903,219
45.25,2.166694821745824,184
45.5,2.261281464454155,263
45.75,1.936113283157646,263
46.0,2.42868054960914,201
46.25,2.120687501397581,180
46.5,2.687341638074204,222
46.75,2.056864127175317,231
47.0,1.9635155667211148,296
47.25,2.3774995520336475,217
47.5,2.452857102478226,246
47.75,2.5224855593312707,241
48.0,2.111506533052612,205
48.25,2.621060482947215,181
48.5,2.145529792644888,254
48.75,2.5303463267282984,275
49.0,2.132531555422524,294
49.25,2.312241669964841,290
49.5,2.069351019783852,196
49.75,2.417206202971304,203
50.0,2.5118116471847527,205
