time_ns,n_hbonds
0.0,0.0
0.25,0.0
0.5,0.0
0.75,0.0
1.0,0.0
1.25,0.0
1.5,0.0
1.75,0.0
2.0,0.0
2.25,0.0
2.5,0.0
2.75,6.0
3.0,0.0
3.25,0.0
3.5,2.0
3.75,0.0
4.0,5.0
4.25,7.0
4.5,1.0
4.75,4.0
5.0,5.0
5.25,9.0
5.5,7.0
5.75,3.0
6.0,5.0
6.25,16.0
6.5,4.0
6.75,0.0
7.0,7.0
7.25,6.0
7.5,4.0
7.75,3.0
8.0,2.0
8.25,3.0
8.5,20.0
8.75,5.0
9.0,13.0
9.25,8.0
9.5,3.0
9.75,2.0
10.0,1.0
10.25,3.0
10.5,5.0
10.75,8.0
11.0,4.0
11.25,8.0
11.5,2.0
11.75,9.0
12.0,7.0
12.25,9.0
12.5,5.0
12.75,4.0
13.0,4.0
13.25,6.0
13.5,3.0
13.75,1.0
14.0,1.0
14.25,1.0
14.5,13.0
14.75,6.0
15.0,8.0
15.25,20.0
15.5,2.0
15.75,10.0
16.0,2.0
16.25,7.0
16.5,13.0
16.75,7.0
17.0,2.0
17.25,0.0
17.5,5.0
17.75,1.0
18.0,5.0
18.25,2.0
18.5,1.0
18.75,5.0
19.0,6.0
19.25,4.0
19.5,11.0
19.75,3.0
20.0,9.0
20.25,4.0
20.5,12.0
20.75,6.0
21.0,1.0
21.25,23.0
21.5,4.0
21.75,8.0
22.0,2.0
22.25,1.0
22.5,8.0
22.75,9.0
23.0,12.0
23.25,5.0
23.5,7.0
23.75,9.0
24.0,10.0
24.25,11.0
24.5,8.0
24.75,14.0
25.0,9.0
25.25,9.0
25.5,4.0
25.75,14.0
26.0,9.0
26.25,10.0
26.5,11.0
26.75,8.0
27.0,10.0
27.25,10.0
27.5,4.0
27.75,7.0
28.0,7.0
28.25,5.0
28.5,3.0
28.75,13.0
29.0,7.0
29.25,2.0
29.5,6.0
29.75,13.0
30.0,5.0
30.25,6.0
30.5,4.0
30.75,8.0
31.0,9.0
31.25,8.0
31.5,0.0
31.75,15.0
32.0,3.0
32.25,11.0
32.5,6.0
32.75,4.0
33.0,24.0
33.25,5.0
33.5,3.0
33.75,4.0
34.0,7.0
34.25,2.0
34.5,10.0
34.75,3.0
35.0,5.0
35.25,6.0
35.5,2.0
35.75,14.0
36.0,14.0
36.25,12.0
36.5,9.0
36.75,10.0
37.0,6.0
37.25,2.0
37.5,12.0
37.75,2.0
38.0,23.0
38.25,10.0
38.5,2.0
38.75,6.0
39.0,1.0
39.25,4.0
39.5,3.0
39.75,10.0
40.0,0.0
40.25,4.0
40.5,9.0
40.75,12.0
41.0,7.0
41.25,9.0
41.5,9.0
41.75,5.0
42.0,8.0
42.25,18.0
42.5,5.0
42.75,1.0
43.0,4.0
43.25,4.0
43.5,9.0
43.75,9.0
44.0,9.0
44.25,3.0
44.5,7.0
44.75,4.0
45.0,18.0
45.25,9.0
45.5,7.0
45.75,11.0
46.0,7.0
46.25,1.0
46.5,13.0
46.75,8.0
47.0,13.0
47.25,7.0
47.5,10.0
47.75,9.0
48.0,3.0
48.25,5.0
48.5,11.0
48.75,19.0
49.0,10.0
49.25,3.0
49.5,9.0
49.75,7.0
50.0,7.0
