time_ns,n_hbonds
0.0,0.0
0.25,0.0
0.5,0.0
0.75,0.0
1.0,0.0
1.25,0.0
1.5,0.0
1.75,0.0
2.0,0.0
2.25,0.0
2.5,0.0
2.75,0.0
3.0,0.0
3.25,0.0
3.5,0.0
3.75,0.0
4.0,0.0
4.25,0.0
4.5,0.0
4.75,0.0
5.0,0.0
5.25,0.0
5.5,0.0
5.75,0.0
6.0,0.0
6.25,0.0
6.5,0.0
6.75,0.0
7.0,0.0
7.25,0.0
7.5,0.0
7.75,0.0
8.0,0.0
8.25,0.0
8.5,0.0
8.75,0.0
9.0,0.0
9.25,0.0
9.5,1.0
9.75,0.0
10.0,0.0
10.25,0.0
10.5,34.0
10.75,8.0
11.0,0.0
11.25,0.0
11.5,0.0
11.75,0.0
12.0,0.0
12.25,0.0
12.5,0.0
12.75,0.0
13.0,0.0
13.25,0.0
13.5,0.0
13.75,0.0
14.0,0.0
14.25,4.0
14.5,0.0
14.75,0.0
15.0,0.0
15.25,0.0
15.5,0.0
15.75,0.0
16.0,1.0
16.25,8.0
16.5,3.0
16.75,7.0
17.0,10.0
17.25,8.0
17.5,6.0
17.75,3.0
18.0,5.0
18.25,7.0
18.5,9.0
18.75,3.0
19.0,4.0
19.25,6.0
19.5,9.0
19.75,3.0
20.0,9.0
20.25,5.0
20.5,9.0
20.75,3.0
21.0,11.0
21.25,8.0
21.5,6.0
21.75,10.0
22.0,0.0
22.25,9.0
22.5,12.0
22.75,7.0
23.0,11.0
23.25,2.0
23.5,5.0
23.75,5.0
24.0,17.0
24.25,5.0
24.5,19.0
24.75,22.0
25.0,9.0
25.25,7.0
25.5,3.0
25.75,10.0
26.0,12.0
26.25,10.0
26.5,2.0
26.75,5.0
27.0,3.0
27.25,7.0
27.5,10.0
27.75,8.0
28.0,8.0
28.25,13.0
28.5,8.0
28.75,9.0
29.0,7.0
29.25,4.0
29.5,10.0
29.75,7.0
30.0,11.0
30.25,5.0
30.5,7.0
30.75,8.0
31.0,11.0
31.25,5.0
31.5,7.0
31.75,3.0
32.0,5.0
32.25,7.0
32.5,15.0
32.75,9.0
33.0,9.0
33.25,18.0
33.5,13.0
33.75,5.0
34.0,0.0
34.25,16.0
34.5,10.0
34.75,6.0
35.0,5.0
35.25,12.0
35.5,14.0
35.75,4.0
36.0,7.0
36.25,4.0
36.5,5.0
36.75,9.0
37.0,3.0
37.25,4.0
37.5,3.0
37.75,7.0
38.0,4.0
38.25,4.0
38.5,1.0
38.75,8.0
39.0,2.0
39.25,9.0
39.5,2.0
39.75,2.0
40.0,9.0
40.25,2.0
40.5,3.0
40.75,7.0
41.0,12.0
41.25,6.0
41.5,3.0
41.75,11.0
42.0,0.0
42.25,6.0
42.5,7.0
42.75,6.0
43.0,7.0
43.25,1.0
43.5,7.0
43.75,7.0
44.0,4.0
44.25,2.0
44.5,10.0
44.75,8.0
45.0,10.0
45.25,17.0
45.5,1.0
45.75,10.0
46.0,11.0
46.25,4.0
46.5,14.0
46.75,5.0
47.0,11.0
47.25,7.0
47.5,3.0
47.75,3.0
48.0,1.0
48.25,11.0
48.5,6.0
48.75,3.0
49.0,2.0
49.25,14.0
49.5,2.0
49.75,4.0
50.0,3.0
